Gene ID,source_id,Organism,Genomic Location (Gene),Product Description,Input Ortholog(s),Paralog count,Ortholog count,Ortholog Group
PCOAH_00000250,PCOAH_00000250-t30_1,Plasmodium coatneyi Hackeri,"CP016239:112,570..119,481(+)",Erythrocyte membrane-associated antigen,PCYB_011090,0,54,OG6_136626
PCOAH_00000260,PCOAH_00000260-t30_1,Plasmodium coatneyi Hackeri,"CP016239:121,005..123,724(+)",Uncharacterized protein,PCYB_011100,0,52,OG6_116284
PCOAH_00000270,PCOAH_00000270-t30_1,Plasmodium coatneyi Hackeri,"CP016239:124,416..125,030(-)",Uncharacterized protein,PCYB_011110,0,54,OG6_533711
PCOAH_00000280,PCOAH_00000280-t30_1,Plasmodium coatneyi Hackeri,"CP016239:128,295..131,065(+)",Uncharacterized protein,"PCYB_011120,PCYB_124880",1,92,OG6_110485
PCOAH_00000290,PCOAH_00000290-t30_1,Plasmodium coatneyi Hackeri,"CP016239:131,959..143,480(-)",Uncharacterized protein,PCYB_011130,0,41,OG6_532527
PCOAH_00000300,PCOAH_00000300-t30_1,Plasmodium coatneyi Hackeri,"CP016239:144,826..153,597(-)",Uncharacterized protein,PCYB_011140,0,24,OG6_533070
PCOAH_00000320,PCOAH_00000320-t30_1,Plasmodium coatneyi Hackeri,"CP016239:167,319..170,510(-)",Uncharacterized protein,PCYB_011160,0,55,OG6_101428
PCOAH_00000340,PCOAH_00000340-t30_1,Plasmodium coatneyi Hackeri,"CP016239:181,126..183,534(+)",WD domain G-beta repeat domain containing protein,PCYB_011180,0,53,OG6_130929
PCOAH_00000350,PCOAH_00000350-t30_1,Plasmodium coatneyi Hackeri,"CP016239:185,330..186,788(+)",Uncharacterized protein,"PCYB_004060,PCYB_031080,PCYB_031580,PCYB_032790,PCYB_041030,PCYB_042710,PCYB_042780,PCYB_061840,PCYB_062030,PCYB_063000,PCYB_071910,PCYB_074310,PCYB_082760,PCYB_091020,PCYB_103860,PCYB_103870,PCYB_103880,PCYB_103890,PCYB_103910,PCYB_103940,PCYB_103950,PCYB_103960,PCYB_112830,PCYB_127820,PCYB_131560",20,616,OG6_100282
PCOAH_00000370,PCOAH_00000370-t30_1,Plasmodium coatneyi Hackeri,"CP016239:193,874..194,338(+)",Cytochrome c,PCYB_142120,1,57,OG6_139429
PCOAH_00000380,PCOAH_00000380-t30_1,Plasmodium coatneyi Hackeri,"CP016239:204,880..208,575(-)",Calcium-dependent protein kinase 3,PCYB_011190,0,29,OG6_533317
PCOAH_00000390,PCOAH_00000390-t30_1,Plasmodium coatneyi Hackeri,"CP016239:210,564..223,156(-)",Uncharacterized protein,PCYB_011200,0,57,OG6_102181
PCOAH_00000400,PCOAH_00000400-t30_1,Plasmodium coatneyi Hackeri,"CP016239:227,019..230,663(+)",Uncharacterized protein,PCYB_011210,0,52,OG6_533652
PCOAH_00000410,PCOAH_00000410-t30_1,Plasmodium coatneyi Hackeri,"CP016239:231,138..234,981(-)",Uncharacterized protein,PCYB_011220,0,49,OG6_137272
PCOAH_00000420,PCOAH_00000420-t30_1,Plasmodium coatneyi Hackeri,"CP016239:236,256..237,260(-)",Peptidyl-trna hydrolase,PCYB_011230,0,54,OG6_104996
PCOAH_00000430,PCOAH_00000430-t30_1,Plasmodium coatneyi Hackeri,"CP016239:238,433..241,810(-)",mRNA-capping enzyme,PCYB_011240,0,53,OG6_102244
PCOAH_00000440,PCOAH_00000440-t30_1,Plasmodium coatneyi Hackeri,"CP016239:244,044..246,305(+)",Uncharacterized protein,PCYB_011250,0,42,OG6_532550
PCOAH_00000450,PCOAH_00000450-t30_1,Plasmodium coatneyi Hackeri,"CP016239:247,419..251,462(+)",Uncharacterized protein,PCYB_011260,0,47,OG6_533280
PCOAH_00000460,PCOAH_00000460-t30_1,Plasmodium coatneyi Hackeri,"CP016239:252,819..255,285(+)",Origin recognition subunit,PCYB_011270,0,55,OG6_102887
PCOAH_00000470,PCOAH_00000470-t30_1,Plasmodium coatneyi Hackeri,"CP016239:255,678..258,182(-)",DNA helicase,PCYB_011280,0,54,OG6_102101
PCOAH_00000490,PCOAH_00000490-t30_1,Plasmodium coatneyi Hackeri,"CP016239:271,397..274,600(-)",Uncharacterized protein,PCYB_011300,0,54,OG6_133057
PCOAH_00000500,PCOAH_00000500-t30_1,Plasmodium coatneyi Hackeri,"CP016239:275,778..276,646(-)",30S ribosomal protein S14p/S29e,PCYB_011310,0,48,OG6_101365
PCOAH_00000510,PCOAH_00000510-t30_1,Plasmodium coatneyi Hackeri,"CP016239:277,691..279,867(-)",Uncharacterized protein,PCYB_011320,0,43,OG6_101367
PCOAH_00000520,PCOAH_00000520-t30_1,Plasmodium coatneyi Hackeri,"CP016239:280,540..282,248(-)",ATPase subunit 9,PCYB_011330,0,56,OG6_101507
PCOAH_00000530,PCOAH_00000530-t30_1,Plasmodium coatneyi Hackeri,"CP016239:283,593..287,303(+)",Uncharacterized protein,"PCYB_006870,PCYB_011340",0,56,OG6_101190
PCOAH_00000550,PCOAH_00000550-t30_1,Plasmodium coatneyi Hackeri,"CP016239:293,945..294,489(+)",Uncharacterized protein,PCYB_011360,0,50,OG6_107541
PCOAH_00000560,PCOAH_00000560-t30_1,Plasmodium coatneyi Hackeri,"CP016239:295,335..295,887(+)",Uncharacterized protein,PCYB_011370,0,11,OG6r11_104747
PCOAH_00000570,PCOAH_00000570-t30_1,Plasmodium coatneyi Hackeri,"CP016239:296,906..297,184(-)",Ribosomal protein L37,PCYB_011380,0,53,OG6_100852
PCOAH_00000590,PCOAH_00000590-t30_1,Plasmodium coatneyi Hackeri,"CP016239:311,762..313,531(+)",Uncharacterized protein,PCYB_011400,0,54,OG6_533031
PCOAH_00000600,PCOAH_00000600-t30_1,Plasmodium coatneyi Hackeri,"CP016239:314,465..317,032(+)",DNA mismatch-repair protein,"PCYB_011410,PCYB_133110",1,110,OG6_102031
PCOAH_00000660,PCOAH_00000660-t30_1,Plasmodium coatneyi Hackeri,"CP016239:323,061..326,873(-)",Uncharacterized protein,PCYB_011420,0,39,OG6_200844
PCOAH_00000680,PCOAH_00000680-t30_1,Plasmodium coatneyi Hackeri,"CP016239:334,845..336,875(+)",Putative 26s proteosome regulatory subunit,PCYB_011440,0,54,OG6_103580
PCOAH_00000690,PCOAH_00000690-t30_1,Plasmodium coatneyi Hackeri,"CP016239:338,935..343,011(+)",Uncharacterized protein,PCYB_011450,0,49,OG6_533526
PCOAH_00000700,PCOAH_00000700-t30_1,Plasmodium coatneyi Hackeri,"CP016239:344,091..345,032(+)",Reticulocyte binding protein,PCYB_011460,0,54,OG6_134696
PCOAH_00000710,PCOAH_00000710-t30_1,Plasmodium coatneyi Hackeri,"CP016239:348,007..351,009(+)",Erythrocyte membrane protein,PCYB_011470,0,54,OG6_103776
PCOAH_00000720,PCOAH_00000720-t30_1,Plasmodium coatneyi Hackeri,"CP016239:352,283..355,500(+)",Uncharacterized protein,PCYB_011480,0,50,OG6_533224
PCOAH_00000730,PCOAH_00000730-t30_1,Plasmodium coatneyi Hackeri,"CP016239:356,728..357,507(+)",Uncharacterized protein,PCYB_011490,0,54,OG6_102245
PCOAH_00000740,PCOAH_00000740-t30_1,Plasmodium coatneyi Hackeri,"CP016239:358,803..361,429(+)",Uncharacterized protein,PCYB_011500,0,53,OG6_107210
PCOAH_00000750,PCOAH_00000750-t30_1,Plasmodium coatneyi Hackeri,"CP016239:362,320..362,655(+)",Uncharacterized protein,PCYB_011510,0,8,OG6_122890
PCOAH_00000760,PCOAH_00000760-t30_1,Plasmodium coatneyi Hackeri,"CP016239:362,889..363,098(-)",DNA-directed RNA polymerase II 8.2 kDa polypeptide,PCYB_011520,0,53,OG6_101548
PCOAH_00000780,PCOAH_00000780-t30_1,Plasmodium coatneyi Hackeri,"CP016239:367,901..369,253(+)",Bud32 protein kinase,PCYB_011540,0,55,OG6_101388
PCOAH_00000790,PCOAH_00000790-t30_1,Plasmodium coatneyi Hackeri,"CP016239:372,198..374,936(+)",Heat shock protein 86,"PCYB_011550,PCYB_144800",1,113,OG6_100204
PCOAH_00000800,PCOAH_00000800-t30_1,Plasmodium coatneyi Hackeri,"CP016239:376,228..378,868(-)",Heat shock protein 86 family,PCYB_011560,0,53,OG6_103179
PCOAH_00000810,PCOAH_00000810-t30_1,Plasmodium coatneyi Hackeri,"CP016239:380,264..381,601(-)",Uncharacterized protein,PCYB_011570,0,54,OG6_533281
PCOAH_00000820,PCOAH_00000820-t30_1,Plasmodium coatneyi Hackeri,"CP016239:382,253..382,888(-)",Uncharacterized protein,PCYB_011580,0,54,OG6_139486
PCOAH_00000830,PCOAH_00000830-t30_1,Plasmodium coatneyi Hackeri,"CP016239:386,440..389,115(+)",Uncharacterized protein,PCYB_011590,0,53,OG6_100680
PCOAH_00000840,PCOAH_00000840-t30_1,Plasmodium coatneyi Hackeri,"CP016239:389,723..390,670(-)",Cloroquine resistance associated protein Cg3,PCYB_011600,0,56,OG6_100983
PCOAH_00000850,PCOAH_00000850-t30_1,Plasmodium coatneyi Hackeri,"CP016239:393,039..396,288(+)",Putative chloroquine resistance transporter,"PCYB_011610,PCYB_093840",0,62,OG6_107295
PCOAH_00000860,PCOAH_00000860-t30_1,Plasmodium coatneyi Hackeri,"CP016239:398,710..401,805(+)",Cg1 protein,PCYB_011620,0,38,OG6_532507
PCOAH_00000870,PCOAH_00000870-t30_1,Plasmodium coatneyi Hackeri,"CP016239:402,498..410,896(-)",Uncharacterized protein,PCYB_011640,0,49,OG6_156420
PCOAH_00000880,PCOAH_00000880-t30_1,Plasmodium coatneyi Hackeri,"CP016239:411,878..415,490(-)",Uncharacterized protein,PCYB_011650,0,48,OG6_533333
PCOAH_00000890,PCOAH_00000890-t30_1,Plasmodium coatneyi Hackeri,"CP016239:416,538..417,133(+)",Uncharacterized protein,PCYB_011660,0,54,OG6_532583
PCOAH_00000920,PCOAH_00000920-t30_1,Plasmodium coatneyi Hackeri,"CP016239:436,162..437,137(-)",KIR protein,PCYB_005910,3,6,OG6r11_106673
PCOAH_00000930,PCOAH_00000930-t30_1,Plasmodium coatneyi Hackeri,"CP016239:442,777..443,613(-)",Uncharacterized protein,PCYB_002080,8,3,OG6r11_104748
PCOAH_00000940,PCOAH_00000940-t30_1,Plasmodium coatneyi Hackeri,"CP016239:445,521..446,533(-)",Uncharacterized protein,"PCYB_003120,PCYB_007670,PCYB_123430",36,9,OG6r11_100227
PCOAH_00000960,PCOAH_00000960-t30_1,Plasmodium coatneyi Hackeri,"CP016239:452,555..456,304(-)",POP1-like nucleolar ribonuclease,PCYB_011670,0,53,OG6_103108
PCOAH_00000970,PCOAH_00000970-t30_1,Plasmodium coatneyi Hackeri,"CP016239:457,836..461,967(-)",Lysophospholipase-like protein,"PCYB_001200,PCYB_002250,PCYB_011680,PCYB_011690,PCYB_051070,PCYB_053800,PCYB_104230,PCYB_141060",12,603,OG6_100231
PCOAH_00000980,PCOAH_00000980-t30_1,Plasmodium coatneyi Hackeri,"CP016239:463,818..464,015(+)",Uncharacterized protein,PCYB_011700,0,52,OG6_533655
PCOAH_00000990,PCOAH_00000990-t30_1,Plasmodium coatneyi Hackeri,"CP016239:464,439..472,330(-)",Uncharacterized protein,PCYB_011710,0,52,OG6_113142
PCOAH_00001000,PCOAH_00001000-t30_1,Plasmodium coatneyi Hackeri,"CP016239:473,390..483,156(-)",Uncharacterized protein,PCYB_011720,0,50,OG6_532630
PCOAH_00001010,PCOAH_00001010-t30_1,Plasmodium coatneyi Hackeri,"CP016239:484,548..486,053(+)",Uncharacterized protein,PCYB_011730,0,53,OG6_533083
PCOAH_00001050,PCOAH_00001050-t30_1,Plasmodium coatneyi Hackeri,"CP016239:510,747..511,739(-)",Phosphatidate cytidylyltransferase,PCYB_011750,0,51,OG6_139508
PCOAH_00001060,PCOAH_00001060-t30_1,Plasmodium coatneyi Hackeri,"CP016239:512,472..513,668(+)",DNA repair protein,PCYB_011760,0,54,OG6_104388
PCOAH_00001070,PCOAH_00001070-t30_1,Plasmodium coatneyi Hackeri,"CP016239:513,941..515,308(-)",Uncharacterized protein,PCYB_011770,0,54,OG6_139507
PCOAH_00001080,PCOAH_00001080-t30_1,Plasmodium coatneyi Hackeri,"CP016239:516,375..517,761(-)",60S ribosomal protein L34-A,PCYB_011780,0,55,OG6_100855
PCOAH_00001100,PCOAH_00001100-t30_1,Plasmodium coatneyi Hackeri,"CP016239:521,244..522,319(-)",Uncharacterized protein,PCYB_011800,0,37,OG6_176149
PCOAH_00001110,PCOAH_00001110-t30_1,Plasmodium coatneyi Hackeri,"CP016239:522,825..523,964(+)",50S ribosomal protein L1,"PCYB_011810,PCYB_131860",1,109,OG6_100942
PCOAH_00001120,PCOAH_00001120-t30_1,Plasmodium coatneyi Hackeri,"CP016239:524,554..527,886(-)",Cell division cycle ATPase,"PCYB_011820,PCYB_143390",2,152,OG6_102053
PCOAH_00001130,PCOAH_00001130-t30_1,Plasmodium coatneyi Hackeri,"CP016239:529,872..530,420(-)",Uncharacterized protein,PCYB_011830,0,54,OG6_129584
PCOAH_00001140,PCOAH_00001140-t30_1,Plasmodium coatneyi Hackeri,"CP016239:533,316..535,886(+)",Uncharacterized protein,PCYB_011840,0,53,OG6_532621
PCOAH_00001220,PCOAH_00001220-t30_1,Plasmodium coatneyi Hackeri,"CP016239:566,933..567,311(+)",hypothetical protein,PCYB_082640,1,55,OG6_100900
PCOAH_00001230,PCOAH_00001230-t30_1,Plasmodium coatneyi Hackeri,"CP016239:577,290..577,757(+)",Uncharacterized protein,PCYB_011850,0,51,OG6_533105
PCOAH_00001240,PCOAH_00001240-t30_1,Plasmodium coatneyi Hackeri,"CP016239:578,093..580,226(-)",Sin3 associated polypeptide p18-like protein,PCYB_011860,0,53,OG6_103126
PCOAH_00001250,PCOAH_00001250-t30_1,Plasmodium coatneyi Hackeri,"CP016239:583,329..585,368(+)",Regulator of chromosome condensation,PCYB_011870,1,74,OG6_100545
PCOAH_00001260,PCOAH_00001260-t30_1,Plasmodium coatneyi Hackeri,"CP016239:587,624..588,870(-)",Uncharacterized protein,PCYB_011880,0,55,OG6_102500
PCOAH_00001270,PCOAH_00001270-t30_1,Plasmodium coatneyi Hackeri,"CP016239:589,608..590,496(-)",Uncharacterized protein,PCYB_011890,0,56,OG6_102041
PCOAH_00001280,PCOAH_00001280-t30_1,Plasmodium coatneyi Hackeri,"CP016239:593,205..594,830(+)",Eukaryotic aspartyl protease,"PCYB_011900,PCYB_132850",1,111,OG6_119797
PCOAH_00001290,PCOAH_00001290-t30_1,Plasmodium coatneyi Hackeri,"CP016239:595,603..599,845(-)",Uncharacterized protein,PCYB_011910,0,47,OG6_532464
PCOAH_00001300,PCOAH_00001300-t30_1,Plasmodium coatneyi Hackeri,"CP016239:600,839..604,075(-)",Uncharacterized protein,PCYB_011920,0,55,OG6_128391
PCOAH_00001310,PCOAH_00001310-t30_1,Plasmodium coatneyi Hackeri,"CP016239:604,962..606,392(-)",Tyrosyl-trna synthetase,PCYB_011930,0,54,OG6_101224
PCOAH_00001320,PCOAH_00001320-t30_1,Plasmodium coatneyi Hackeri,"CP016239:607,567..609,061(+)",26S proteasome non-ATPase regulatory subunit 4,PCYB_011940,0,54,OG6_102002
PCOAH_00001340,PCOAH_00001340-t30_1,Plasmodium coatneyi Hackeri,"CP016239:611,134..613,152(-)",Glutathione synthetase,PCYB_102950,1,54,OG6_101596
PCOAH_00001360,PCOAH_00001360-t30_1,Plasmodium coatneyi Hackeri,"CP016239:618,835..620,445(-)",Proteasome subunit alpha type 6,PCYB_011970,0,54,OG6_102240
PCOAH_00001370,PCOAH_00001370-t30_1,Plasmodium coatneyi Hackeri,"CP016239:621,192..622,383(-)",Uncharacterized protein,PCYB_011980,0,55,OG6_102109
PCOAH_00001380,PCOAH_00001380-t30_1,Plasmodium coatneyi Hackeri,"CP016239:623,736..624,609(-)",Rab family,PCYB_011990,0,53,OG6_101993
PCOAH_00001390,PCOAH_00001390-t30_1,Plasmodium coatneyi Hackeri,"CP016239:626,927..628,311(-)",Uncharacterized protein,PCYB_012000,0,55,OG6_532519
PCOAH_00001400,PCOAH_00001400-t30_1,Plasmodium coatneyi Hackeri,"CP016239:629,586..633,162(+)",RNA helicase,PCYB_012010,0,40,OG6_134689
PCOAH_00001410,PCOAH_00001410-t30_1,Plasmodium coatneyi Hackeri,"CP016239:633,451..635,028(-)",Gas41-like protein,PCYB_012020,0,46,OG6_102192
PCOAH_00001420,PCOAH_00001420-t30_1,Plasmodium coatneyi Hackeri,"CP016239:635,618..636,802(+)",Uncharacterized protein,PCYB_012030,0,54,OG6_134688
PCOAH_00001430,PCOAH_00001430-t30_1,Plasmodium coatneyi Hackeri,"CP016239:638,546..641,582(+)",V-type proton ATPase subunit a,PCYB_012040,0,54,OG6_100301
PCOAH_00001470,PCOAH_00001470-t30_1,Plasmodium coatneyi Hackeri,"CP016239:660,586..662,715(-)",KIR protein,PCYB_032285,9,5,OG6r11_102653
PCOAH_00001490,PCOAH_00001490-t30_1,Plasmodium coatneyi Hackeri,"CP016239:666,034..667,584(-)",Uncharacterized protein,"PCYB_003120,PCYB_007670,PCYB_123430",36,9,OG6r11_100227
PCOAH_00001500,PCOAH_00001500-t30_1,Plasmodium coatneyi Hackeri,"CP016239:674,404..675,720(-)",Dual specificity phosphatase,PCYB_012050,0,25,OG6_104223
PCOAH_00001520,PCOAH_00001520-t30_1,Plasmodium coatneyi Hackeri,"CP016239:683,998..686,686(+)",Kinesin-like protein,PCYB_012070,0,53,OG6_533673
PCOAH_00001530,PCOAH_00001530-t30_1,Plasmodium coatneyi Hackeri,"CP016239:688,432..690,762(+)",DNAJ protein,"PCYB_012080,PCYB_101830",1,285,OG6_102152
PCOAH_00001540,PCOAH_00001540-t30_1,Plasmodium coatneyi Hackeri,"CP016239:691,502..692,050(-)",Glycosyltransferase,PCYB_012090,0,53,OG6_102820
PCOAH_00001550,PCOAH_00001550-t30_1,Plasmodium coatneyi Hackeri,"CP016239:693,138..698,414(+)",Uncharacterized protein,PCYB_012100,0,55,OG6_116719
PCOAH_00001560,PCOAH_00001560-t30_1,Plasmodium coatneyi Hackeri,"CP016239:698,612..702,692(-)",Uncharacterized protein,PCYB_012110,0,57,OG6_107418
PCOAH_00001570,PCOAH_00001570-t30_1,Plasmodium coatneyi Hackeri,"CP016239:703,821..705,398(-)",Uncharacterized protein,PCYB_081960,0,33,OG6_532742
PCOAH_00001580,PCOAH_00001580-t30_1,Plasmodium coatneyi Hackeri,"CP016239:706,215..709,280(+)",AAA family ATPase,PCYB_012130,0,53,OG6_532300
PCOAH_00001600,PCOAH_00001600-t30_1,Plasmodium coatneyi Hackeri,"CP016239:711,996..713,218(+)",Uncharacterized protein,PCYB_012140,0,52,OG6_533617
PCOAH_00001610,PCOAH_00001610-t30_1,Plasmodium coatneyi Hackeri,"CP016239:718,233..722,731(+)",Serine/threonine protein kinase,PCYB_012150,0,574,OG6_111291
PCOAH_00001620,PCOAH_00001620-t30_1,Plasmodium coatneyi Hackeri,"CP016239:724,188..725,141(-)",Phosphatase,PCYB_012160,0,42,OG6_103418
PCOAH_00001760,PCOAH_00001760-t30_1,Plasmodium coatneyi Hackeri,"CP016239:870,355..875,515(+)",Uncharacterized protein,PCYB_012170,0,50,OG6_533754
PCOAH_00001770,PCOAH_00001770-t30_1,Plasmodium coatneyi Hackeri,"CP016239:882,812..886,516(+)",Uncharacterized protein,PCYB_012190,0,16,OG6r11_102123
PCOAH_00001780,PCOAH_00001780-t30_1,Plasmodium coatneyi Hackeri,"CP016239:888,522..888,812(-)",Uncharacterized protein,PCYB_012200,0,53,OG6_533551
PCOAH_00001790,PCOAH_00001790-t30_1,Plasmodium coatneyi Hackeri,"CP016239:891,476..893,233(-)",Uncharacterized protein,PCYB_012210,0,54,OG6_533481
PCOAH_00001800,PCOAH_00001800-t30_1,Plasmodium coatneyi Hackeri,"CP016239:895,547..898,001(+)",Uncharacterized protein,"PCYB_012220,PCYB_031150,PCYB_092650",3,162,OG6_100915
PCOAH_00001810,PCOAH_00001810-t30_1,Plasmodium coatneyi Hackeri,"CP016239:899,946..901,292(+)",GTPase activating protein for Arf,PCYB_012230,0,54,OG6_101784
PCOAH_00001820,PCOAH_00001820-t30_1,Plasmodium coatneyi Hackeri,"CP016239:901,855..902,576(-)",Peptidyl-prolyl cis-trans isomerase,PCYB_012240,0,54,OG6_103291
PCOAH_00001830,PCOAH_00001830-t30_1,Plasmodium coatneyi Hackeri,"CP016239:903,765..909,983(+)",Uncharacterized protein,PCYB_012250,0,9,OG6r11_106674
PCOAH_00001840,PCOAH_00001840-t30_1,Plasmodium coatneyi Hackeri,"CP016239:910,887..912,767(+)",Pseudouridylate synthase 1,PCYB_012260,0,55,OG6_101974
PCOAH_00001850,PCOAH_00001850-t30_1,Plasmodium coatneyi Hackeri,"CP016239:913,259..928,270(-)",Uncharacterized protein,"PCYB_012270,PCYB_061610,PCYB_093420,PCYB_114470",2,107,OG6_114263
PCOAH_00001860,PCOAH_00001860-t30_1,Plasmodium coatneyi Hackeri,"CP016239:929,884..931,917(-)",Methionine aminopeptidase,PCYB_012280,0,54,OG6_171502
PCOAH_00001870,PCOAH_00001870-t30_1,Plasmodium coatneyi Hackeri,"CP016239:932,793..934,550(-)",Uncharacterized protein,PCYB_012290,0,53,OG6_102819
PCOAH_00001880,PCOAH_00001880-t30_1,Plasmodium coatneyi Hackeri,"CP016239:935,552..938,576(-)",Uncharacterized protein,PCYB_012300,0,55,OG6_102945
PCOAH_00001890,PCOAH_00001890-t30_1,Plasmodium coatneyi Hackeri,"CP016239:941,683..942,556(+)",Proteasome subunit beta type,PCYB_012310,0,54,OG6_101718
PCOAH_00001900,PCOAH_00001900-t30_1,Plasmodium coatneyi Hackeri,"CP016239:942,839..944,197(-)",Tubulin gamma chain,PCYB_012320,0,54,OG6_101897
PCOAH_00001910,PCOAH_00001910-t30_1,Plasmodium coatneyi Hackeri,"CP016239:946,067..949,610(-)",Tubulin gamma chain,PCYB_012330,0,61,OG6_101929
PCOAH_00001920,PCOAH_00001920-t30_1,Plasmodium coatneyi Hackeri,"CP016239:950,689..953,991(-)",AAA family ATPase,PCYB_012350,0,51,OG6_532999
PCOAH_00001930,PCOAH_00001930-t30_1,Plasmodium coatneyi Hackeri,"CP016239:955,687..958,884(-)",DNA repair protein rad54,PCYB_012360,0,54,OG6_102456
PCOAH_00001940,PCOAH_00001940-t30_1,Plasmodium coatneyi Hackeri,"CP016239:959,900..961,788(-)",Mitogen-activated protein kinase organizer 1,PCYB_012370,0,52,OG6_103232
PCOAH_00001950,PCOAH_00001950-t30_1,Plasmodium coatneyi Hackeri,"CP016239:964,049..965,901(+)",Uncharacterized protein,PCYB_012380,0,54,OG6_111978
PCOAH_00001960,PCOAH_00001960-t30_1,Plasmodium coatneyi Hackeri,"CP016239:967,005..969,740(+)",Uncharacterized protein,"PCYB_004060,PCYB_031080,PCYB_031580,PCYB_032790,PCYB_041030,PCYB_042710,PCYB_042780,PCYB_061840,PCYB_062030,PCYB_063000,PCYB_071910,PCYB_074310,PCYB_082760,PCYB_091020,PCYB_103860,PCYB_103870,PCYB_103880,PCYB_103890,PCYB_103910,PCYB_103940,PCYB_103950,PCYB_103960,PCYB_112830,PCYB_127820,PCYB_131560",20,616,OG6_100282
PCOAH_00001970,PCOAH_00001970-t30_1,Plasmodium coatneyi Hackeri,"CP016239:969,923..971,710(-)",Uncharacterized protein,PCYB_012400,0,53,OG6_533341
PCOAH_00001980,PCOAH_00001980-t30_1,Plasmodium coatneyi Hackeri,"CP016239:972,288..972,906(+)",Uncharacterized protein,PCYB_012410,0,53,OG6_533186
PCOAH_00001990,PCOAH_00001990-t30_1,Plasmodium coatneyi Hackeri,"CP016239:973,356..975,613(-)",Serine/threonine-protein phosphatase,PCYB_012420,0,54,OG6_100566
PCOAH_00002000,PCOAH_00002000-t30_1,Plasmodium coatneyi Hackeri,"CP016239:977,317..985,398(-)",Uncharacterized protein,PCYB_012440,0,48,OG6_126556
PCOAH_00002010,PCOAH_00002010-t30_1,Plasmodium coatneyi Hackeri,"CP016239:986,430..990,146(+)",Uncharacterized protein,PCYB_012450,0,57,OG6_101803
PCOAH_00002020,PCOAH_00002020-t30_1,Plasmodium coatneyi Hackeri,"CP016239:990,254..992,963(-)",Uncharacterized protein,PCYB_012460,0,55,OG6_137940
PCOAH_00002030,PCOAH_00002030-t30_1,Plasmodium coatneyi Hackeri,"CP016239:994,848..997,991(+)",Wd-repeat protein p103,PCYB_012470,0,54,OG6_102497
PCOAH_00002040,PCOAH_00002040-t30_1,Plasmodium coatneyi Hackeri,"CP016239:998,429..999,091(-)",1-cyspxn 1-cys peroxidoxin,"PCYB_012480,PCYB_127620,PCYB_144150",2,165,OG6_100111
PCOAH_00002060,PCOAH_00002060-t30_1,Plasmodium coatneyi Hackeri,"CP016239:1,010,114..1,013,677(-)",Gluatamate dehydrogenase,PCYB_012500,0,55,OG6_106160
PCOAH_00002080,PCOAH_00002080-t30_1,Plasmodium coatneyi Hackeri,"CP016239:1,032,418..1,035,072(+)",Mannose-6-phosphate isomerase,PCYB_012520,0,54,OG6_102059
PCOAH_00002090,PCOAH_00002090-t30_1,Plasmodium coatneyi Hackeri,"CP016239:1,035,858..1,040,732(-)",Uncharacterized protein,PCYB_012530,0,44,OG6_113308
