"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Input Ortholog(s)","Paralog count","Ortholog count","Ortholog Group"
"PCYB_001240","PCYB_001240-t26_1","Plasmodium cynomolgi strain B","DF157113:5,107..6,065(-)","tryptophan-rich antigen","PCOAH_00003910,PCOAH_00003950,PCOAH_00006380,PCOAH_00006400,PCOAH_00009820,PCOAH_00009960,PCOAH_00010000,PCOAH_00012690,PCOAH_00019020,PCOAH_00031860,PCOAH_00039110,PCOAH_00051400","28","465","OG6_145873"
"PCYB_001250","PCYB_001250-t26_1","Plasmodium cynomolgi strain B","DF157113:10,313..10,996(-)","CYIR protein","PCOAH_00005060,PCOAH_00007530,PCOAH_00007540,PCOAH_00009840,PCOAH_00009860,PCOAH_00009890,PCOAH_00009910,PCOAH_00009930,PCOAH_00012820,PCOAH_00012850,PCOAH_00013010,PCOAH_00019120,PCOAH_00019160,PCOAH_00028390,PCOAH_00036430,PCOAH_00037180,PCOAH_00039470,PCOAH_00040410,PCOAH_00040480,PCOAH_00047650,PCOAH_00047760,PCOAH_00047960,PCOAH_00047980,PCOAH_00051250,PCOAH_00051350","2","69","OG6r11_100087"
"PCYB_001340","PCYB_001340-t26_1","Plasmodium cynomolgi strain B","DF157118:6,184..6,528(+)","hypothetical protein","PCOAH_00000140","0","36","OG6_533511"
"PCYB_001350","PCYB_001350-t26_1","Plasmodium cynomolgi strain B","DF157118:9,650..11,037(-)","hypothetical protein","PCOAH_00000150","0","23","OG6r11_100958"
"PCYB_001460","PCYB_001460-t26_1","Plasmodium cynomolgi strain B","DF157125:815..1,920(+)","phist protein","PCOAH_00011900,PCOAH_00012680,PCOAH_00013220,PCOAH_00015340,PCOAH_00028150","7","235","OG6_144691"
"PCYB_001520","PCYB_001520-t26_1","Plasmodium cynomolgi strain B","DF157128:479..1,492(+)","Pv-fam-d protein","PCOAH_00006390","0","10","OG6r11_105643"
"PCYB_001660","PCYB_001660-t26_1","Plasmodium cynomolgi strain B","DF157138:4,242..5,646(-)","hypothetical protein","PCOAH_00003400,PCOAH_00005020,PCOAH_00012940,PCOAH_00019230,PCOAH_00022080,PCOAH_00025420,PCOAH_00030450,PCOAH_00033460,PCOAH_00035680,PCOAH_00036700,PCOAH_00037100,PCOAH_00045620,PCOAH_00048120,PCOAH_00048590","3","525","OG6_134606"
"PCYB_001700","PCYB_001700-t26_1","Plasmodium cynomolgi strain B","DF157141:1,226..1,873(-)","hypothetical protein","PCOAH_00003400,PCOAH_00005020,PCOAH_00012940,PCOAH_00019230,PCOAH_00022080,PCOAH_00025420,PCOAH_00030450,PCOAH_00033460,PCOAH_00035680,PCOAH_00036700,PCOAH_00037100,PCOAH_00045620,PCOAH_00048120,PCOAH_00048590","3","525","OG6_134606"
"PCYB_001740","PCYB_001740-t26_1","Plasmodium cynomolgi strain B","DF157145:1,620..2,644(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_001790","PCYB_001790-t26_1","Plasmodium cynomolgi strain B","DF157150:4,522..5,011(-)","tryptophan-rich antigen","PCOAH_00003910,PCOAH_00003950,PCOAH_00006380,PCOAH_00006400,PCOAH_00009820,PCOAH_00009960,PCOAH_00010000,PCOAH_00012690,PCOAH_00019020,PCOAH_00031860,PCOAH_00039110,PCOAH_00051400","28","465","OG6_145873"
"PCYB_001840","PCYB_001840-t26_1","Plasmodium cynomolgi strain B","DF157156:935..3,078(-)","hypothetical protein","PCOAH_00016240,PCOAH_00028410,PCOAH_00042160","0","13","OG6r11_103341"
"PCYB_001880","PCYB_001880-t26_1","Plasmodium cynomolgi strain B","DF157162:606..1,330(+)","hypothetical protein","PCOAH_00027640","2","55","OG6_139448"
"PCYB_001970","PCYB_001970-t26_1","Plasmodium cynomolgi strain B","DF157171:71..1,156(+)","tryptophan-rich antigen","PCOAH_00003910,PCOAH_00003950,PCOAH_00006380,PCOAH_00006400,PCOAH_00009820,PCOAH_00009960,PCOAH_00010000,PCOAH_00012690,PCOAH_00019020,PCOAH_00031860,PCOAH_00039110,PCOAH_00051400","28","465","OG6_145873"
"PCYB_001980","PCYB_001980-t26_1","Plasmodium cynomolgi strain B","DF157171:3,556..4,591(+)","tryptophan-rich antigen","PCOAH_00003910,PCOAH_00003950,PCOAH_00006380,PCOAH_00006400,PCOAH_00009820,PCOAH_00009960,PCOAH_00010000,PCOAH_00012690,PCOAH_00019020,PCOAH_00031860,PCOAH_00039110,PCOAH_00051400","28","465","OG6_145873"
"PCYB_002080","PCYB_002080-t26_1","Plasmodium cynomolgi strain B","DF157181:2,511..4,177(+)","hypothetical protein","PCOAH_00000930,PCOAH_00012860,PCOAH_00015410,PCOAH_00016220,PCOAH_00016250,PCOAH_00028920,PCOAH_00031730,PCOAH_00042200,PCOAH_00047660","0","11","OG6r11_104748"
"PCYB_002110","PCYB_002110-t26_1","Plasmodium cynomolgi strain B","DF157185:1,723..3,730(+)","Pvstp1","PCOAH_00003400,PCOAH_00005020,PCOAH_00012940,PCOAH_00019230,PCOAH_00022080,PCOAH_00025420,PCOAH_00030450,PCOAH_00033460,PCOAH_00035680,PCOAH_00036700,PCOAH_00037100,PCOAH_00045620,PCOAH_00048120,PCOAH_00048590","3","525","OG6_134606"
"PCYB_002120","PCYB_002120-t26_1","Plasmodium cynomolgi strain B","DF157188:1,176..2,412(-)","hypothetical protein","PCOAH_00012970","0","5","OG6r11_113452"
"PCYB_002180","PCYB_002180-t26_1","Plasmodium cynomolgi strain B","DF157196:15..915(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_002210","PCYB_002210-t26_1","Plasmodium cynomolgi strain B","DF157197:3,502..3,752(+)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_002230","PCYB_002230-t26_1","Plasmodium cynomolgi strain B","DF157201:288..2,638(-)","hypothetical protein","PCOAH_00011080","0","67","OG6_101806"
"PCYB_002240","PCYB_002240-t26_1","Plasmodium cynomolgi strain B","DF157203:236..1,099(-)","Pvstp1","PCOAH_00003400,PCOAH_00005020,PCOAH_00012940,PCOAH_00019230,PCOAH_00022080,PCOAH_00025420,PCOAH_00030450,PCOAH_00033460,PCOAH_00035680,PCOAH_00036700,PCOAH_00037100,PCOAH_00045620,PCOAH_00048120,PCOAH_00048590","3","525","OG6_134606"
"PCYB_002250","PCYB_002250-t26_1","Plasmodium cynomolgi strain B","DF157204:45..1,130(+)","PST-A protein","PCOAH_00000970,PCOAH_00002190,PCOAH_00002330,PCOAH_00003960,PCOAH_00004040,PCOAH_00006410,PCOAH_00009950,PCOAH_00012700,PCOAH_00015440,PCOAH_00019430,PCOAH_00031660,PCOAH_00037360,PCOAH_00055320","7","608","OG6_100231"
"PCYB_002270","PCYB_002270-t26_1","Plasmodium cynomolgi strain B","DF157209:740..1,020(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_002450","PCYB_002450-t26_1","Plasmodium cynomolgi strain B","DF157226:684..3,608(-)","hypothetical protein","PCOAH_00021810","0","22","OG6r11_101081"
"PCYB_002590","PCYB_002590-t26_1","Plasmodium cynomolgi strain B","DF157244:728..1,747(-)","hypothetical protein","PCOAH_00036000","7","113","OG6r11_100029"
"PCYB_002650","PCYB_002650-t26_1","Plasmodium cynomolgi strain B","DF157252:1,859..2,740(+)","hypothetical protein","PCOAH_00049850","1","57","OG6_100411"
"PCYB_002730","PCYB_002730-t26_1","Plasmodium cynomolgi strain B","DF157264:1,879..2,602(-)","ubiquitin carboxyl-terminal hydrolase","PCOAH_00000070","0","2","OG6r11_137713"
"PCYB_002810","PCYB_002810-t26_1","Plasmodium cynomolgi strain B","DF157285:1,083..1,939(+)","hypothetical protein","PCOAH_00033030","1","55","OG6_101226"
"PCYB_002860","PCYB_002860-t26_1","Plasmodium cynomolgi strain B","DF157291:619..3,056(+)","phist protein","PCOAH_00011900,PCOAH_00012680,PCOAH_00013220,PCOAH_00015340,PCOAH_00028150","7","235","OG6_144691"
"PCYB_002940","PCYB_002940-t26_1","Plasmodium cynomolgi strain B","DF157306:1,208..2,238(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_002970","PCYB_002970-t26_1","Plasmodium cynomolgi strain B","DF157311:401..907(+)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_003080","PCYB_003080-t26_1","Plasmodium cynomolgi strain B","DF157329:1,796..2,227(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_003110","PCYB_003110-t26_1","Plasmodium cynomolgi strain B","DF157334:1,052..2,054(-)","CYIR protein","PCOAH_00052060","0","5","OG6_101478"
"PCYB_003120","PCYB_003120-t26_1","Plasmodium cynomolgi strain B","DF157335:1,135..2,127(-)","hypothetical protein","PCOAH_00000940,PCOAH_00001490,PCOAH_00003150,PCOAH_00003180,PCOAH_00004740,PCOAH_00005530,PCOAH_00005560,PCOAH_00010970,PCOAH_00012950,PCOAH_00012960,PCOAH_00013000,PCOAH_00013020,PCOAH_00013130,PCOAH_00017730,PCOAH_00018410,PCOAH_00019070,PCOAH_00019170,PCOAH_00019310,PCOAH_00023340,PCOAH_00023470,PCOAH_00026790,PCOAH_00031700,PCOAH_00031750,PCOAH_00035660,PCOAH_00035690,PCOAH_00035710,PCOAH_00040420,PCOAH_00040460,PCOAH_00040470,PCOAH_00047670,PCOAH_00047680,PCOAH_00047730,PCOAH_00047750,PCOAH_00047990,PCOAH_00048030,PCOAH_00048890,PCOAH_00054350","2","43","OG6r11_100227"
"PCYB_003130","PCYB_003130-t26_1","Plasmodium cynomolgi strain B","DF157336:1,755..2,245(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_003150","PCYB_003150-t26_1","Plasmodium cynomolgi strain B","DF157343:1,350..1,699(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_003170","PCYB_003170-t26_1","Plasmodium cynomolgi strain B","DF157348:647..2,147(+)","hypothetical protein","PCOAH_00012130","0","51","OG6_532374"
"PCYB_003190","PCYB_003190-t26_1","Plasmodium cynomolgi strain B","DF157351:1,797..2,521(-)","tryptophan-rich antigen","PCOAH_00003910,PCOAH_00003950,PCOAH_00006380,PCOAH_00006400,PCOAH_00009820,PCOAH_00009960,PCOAH_00010000,PCOAH_00012690,PCOAH_00019020,PCOAH_00031860,PCOAH_00039110,PCOAH_00051400","28","465","OG6_145873"
"PCYB_003240","PCYB_003240-t26_1","Plasmodium cynomolgi strain B","DF157359:767..2,185(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_003270","PCYB_003270-t26_1","Plasmodium cynomolgi strain B","DF157365:369..1,753(+)","phist protein","PCOAH_00009990","0","35","OG6_533137"
"PCYB_003280","PCYB_003280-t26_1","Plasmodium cynomolgi strain B","DF157368:1,618..2,796(+)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_003330","PCYB_003330-t26_1","Plasmodium cynomolgi strain B","DF157379:273..1,830(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_003370","PCYB_003370-t26_1","Plasmodium cynomolgi strain B","DF157385:1,764..2,689(+)","hypothetical protein","PCOAH_00028190","0","7","OG6r11_109258"
"PCYB_003380","PCYB_003380-t26_1","Plasmodium cynomolgi strain B","DF157386:1,829..2,592(+)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_003770","PCYB_003770-t26_1","Plasmodium cynomolgi strain B","DF157459:720..1,325(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_003910","PCYB_003910-t26_1","Plasmodium cynomolgi strain B","DF157486:1,327..2,085(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_004060","PCYB_004060-t26_1","Plasmodium cynomolgi strain B","DF157525:405..1,656(-)","CYIR protein","PCOAH_00000350,PCOAH_00001960,PCOAH_00003900,PCOAH_00006210,PCOAH_00007000,PCOAH_00008210,PCOAH_00014420,PCOAH_00015350,PCOAH_00015490,PCOAH_00016370,PCOAH_00018070,PCOAH_00023480,PCOAH_00028430,PCOAH_00031430,PCOAH_00031440,PCOAH_00031450,PCOAH_00037050,PCOAH_00047490,PCOAH_00048110,PCOAH_00048130,PCOAH_00052920","24","612","OG6_100282"
"PCYB_004090","PCYB_004090-t26_1","Plasmodium cynomolgi strain B","DF157532:1,341..1,597(-)","hypothetical protein","PCOAH_00028910","0","55","OG6_115141"
"PCYB_004130","PCYB_004130-t26_1","Plasmodium cynomolgi strain B","DF157539:16..1,232(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_004220","PCYB_004220-t26_1","Plasmodium cynomolgi strain B","DF157567:297..1,583(+)","CYIR protein","PCOAH_00036000","7","113","OG6r11_100029"
"PCYB_004290","PCYB_004290-t26_1","Plasmodium cynomolgi strain B","DF157583:701..1,423(+)","hypothetical protein","PCOAH_00031200","1","56","OG6_100652"
"PCYB_004490","PCYB_004490-t26_1","Plasmodium cynomolgi strain B","DF157616:567..1,109(-)","hypothetical protein","PCOAH_00024900","1","26","OG6_532509"
"PCYB_004620","PCYB_004620-t26_1","Plasmodium cynomolgi strain B","DF157649:954..1,833(+)","hypothetical protein","PCOAH_00038390,PCOAH_00038400,PCOAH_00040430","0","7","OG6r11_107324"
"PCYB_004660","PCYB_004660-t26_1","Plasmodium cynomolgi strain B","DF157653:292..1,380(-)","CYIR protein","PCOAH_00036000","7","113","OG6r11_100029"
"PCYB_004760","PCYB_004760-t26_1","Plasmodium cynomolgi strain B","DF157679:667..1,458(+)","hypothetical protein","PCOAH_00027640","2","55","OG6_139448"
"PCYB_004770","PCYB_004770-t26_1","Plasmodium cynomolgi strain B","DF157684:217..883(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_004930","PCYB_004930-t26_1","Plasmodium cynomolgi strain B","DF157726:549..1,289(-)","CYIR protein","PCOAH_00036000","7","113","OG6r11_100029"
"PCYB_005050","PCYB_005050-t26_1","Plasmodium cynomolgi strain B","DF157755:76..1,701(+)","hypothetical protein","PCOAH_00016320","0","5","OG6r11_113454"
"PCYB_005130","PCYB_005130-t26_1","Plasmodium cynomolgi strain B","DF157778:59..1,462(-)","CYIR protein","PCOAH_00016300","1","55","OG6_100603"
"PCYB_005250","PCYB_005250-t26_1","Plasmodium cynomolgi strain B","DF157809:212..1,127(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_005400","PCYB_005400-t26_1","Plasmodium cynomolgi strain B","DF157835:230..1,015(-)","CYIR protein","PCOAH_00053110","1","42","OG6_102092"
"PCYB_005460","PCYB_005460-t26_1","Plasmodium cynomolgi strain B","DF157848:205..1,335(-)","CYIR protein","PCOAH_00043540","1","65","OG6_101449"
"PCYB_005540","PCYB_005540-t26_1","Plasmodium cynomolgi strain B","DF157865:441..1,296(-)","CYIR protein","PCOAH_00036000","7","113","OG6r11_100029"
"PCYB_005660","PCYB_005660-t26_1","Plasmodium cynomolgi strain B","DF157889:281..1,353(+)","CYIR protein","PCOAH_00036000","7","113","OG6r11_100029"
"PCYB_005730","PCYB_005730-t26_1","Plasmodium cynomolgi strain B","DF157906:427..765(-)","hypothetical protein","PCOAH_00021240","0","24","OG6r11_100724"
"PCYB_005780","PCYB_005780-t26_1","Plasmodium cynomolgi strain B","DF157914:814..1,451(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_005900","PCYB_005900-t26_1","Plasmodium cynomolgi strain B","DF157938:135..509(+)","hypothetical protein","PCOAH_00016360","1","55","OG6_533761"
"PCYB_005910","PCYB_005910-t26_1","Plasmodium cynomolgi strain B","DF157947:29..613(+)","hypothetical protein","PCOAH_00000920,PCOAH_00019060,PCOAH_00031790,PCOAH_00047910","0","9","OG6r11_106673"
"PCYB_006030","PCYB_006030-t26_1","Plasmodium cynomolgi strain B","DF157983:86..841(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_006130","PCYB_006130-t26_1","Plasmodium cynomolgi strain B","DF158009:5..678(-)","hypothetical protein","PCOAH_00036010","1","48","OG6_532994"
"PCYB_006310","PCYB_006310-t26_1","Plasmodium cynomolgi strain B","DF158065:371..880(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_006350","PCYB_006350-t26_1","Plasmodium cynomolgi strain B","DF158087:448..1,069(-)","co-chaperone Hsc20","PCOAH_00017180","1","55","OG6_102596"
"PCYB_006390","PCYB_006390-t26_1","Plasmodium cynomolgi strain B","DF158098:209..1,074(-)","CYIR protein","PCOAH_00036000","7","113","OG6r11_100029"
"PCYB_006460","PCYB_006460-t26_1","Plasmodium cynomolgi strain B","DF158116:296..1,216(-)","CYIR protein","PCOAH_00036070","0","4","OG6r11_117347"
"PCYB_006870","PCYB_006870-t26_1","Plasmodium cynomolgi strain B","DF158223:754..1,304(+)","hypothetical protein","PCOAH_00000530","1","55","OG6_101190"
"PCYB_006970","PCYB_006970-t26_1","Plasmodium cynomolgi strain B","DF158248:52..1,001(+)","CYIR protein","PCOAH_00036000","7","113","OG6r11_100029"
"PCYB_007040","PCYB_007040-t26_1","Plasmodium cynomolgi strain B","DF158262:332..1,204(+)","cell division cycle protein 20 homolog","PCOAH_00014380","1","54","OG6_101383"
"PCYB_007100","PCYB_007100-t26_1","Plasmodium cynomolgi strain B","DF158274:335..979(-)","sexual stage surface protein Pvs28","PCOAH_00013950","3","112","OG6_104197"
"PCYB_007180","PCYB_007180-t26_1","Plasmodium cynomolgi strain B","DF158305:46..831(+)","Pv-fam-d protein","PCOAH_00037370","0","13","OG6r11_103343"
"PCYB_007540","PCYB_007540-t26_1","Plasmodium cynomolgi strain B","DF158456:325..957(-)","hypothetical protein","PCOAH_00003910,PCOAH_00003950,PCOAH_00006380,PCOAH_00006400,PCOAH_00009820,PCOAH_00009960,PCOAH_00010000,PCOAH_00012690,PCOAH_00019020,PCOAH_00031860,PCOAH_00039110,PCOAH_00051400","28","465","OG6_145873"
"PCYB_007600","PCYB_007600-t26_1","Plasmodium cynomolgi strain B","DF158491:127..716(+)","hypothetical protein","PCOAH_00016350","1","54","OG6_533322"
"PCYB_007670","PCYB_007670-t26_1","Plasmodium cynomolgi strain B","DF158525:24..751(-)","hypothetical protein","PCOAH_00000940,PCOAH_00001490,PCOAH_00003150,PCOAH_00003180,PCOAH_00004740,PCOAH_00005530,PCOAH_00005560,PCOAH_00010970,PCOAH_00012950,PCOAH_00012960,PCOAH_00013000,PCOAH_00013020,PCOAH_00013130,PCOAH_00017730,PCOAH_00018410,PCOAH_00019070,PCOAH_00019170,PCOAH_00019310,PCOAH_00023340,PCOAH_00023470,PCOAH_00026790,PCOAH_00031700,PCOAH_00031750,PCOAH_00035660,PCOAH_00035690,PCOAH_00035710,PCOAH_00040420,PCOAH_00040460,PCOAH_00040470,PCOAH_00047670,PCOAH_00047680,PCOAH_00047730,PCOAH_00047750,PCOAH_00047990,PCOAH_00048030,PCOAH_00048890,PCOAH_00054350","2","43","OG6r11_100227"
"PCYB_007700","PCYB_007700-t26_1","Plasmodium cynomolgi strain B","DF158538:35..862(+)","rRNA methylase","PCOAH_00009680","1","55","OG6_102128"
"PCYB_008200","PCYB_008200-t26_1","Plasmodium cynomolgi strain B","DF158711:77..668(+)","hypothetical protein","PCOAH_00054560","1","54","OG6_533219"
"PCYB_008240","PCYB_008240-t26_1","Plasmodium cynomolgi strain B","DF158730:376..927(-)","hypothetical protein","PCOAH_00027630","23","58","OG6_105985"
"PCYB_011010","PCYB_011010-t26_1","Plasmodium cynomolgi strain B","DF157093:4,147..5,475(+)","chitinase","PCOAH_00000160","0","59","OG6_124694"
"PCYB_011030","PCYB_011030-t26_1","Plasmodium cynomolgi strain B","DF157093:11,536..12,221(-)","hypothetical protein","PCOAH_00000190","0","51","OG6_127054"
"PCYB_011040","PCYB_011040-t26_1","Plasmodium cynomolgi strain B","DF157093:14,067..19,482(+)","hypothetical protein","PCOAH_00000200","0","40","OG6_533740"
"PCYB_011050","PCYB_011050-t26_1","Plasmodium cynomolgi strain B","DF157093:20,476..21,201(+)","hypothetical protein","PCOAH_00000210","0","54","OG6_102398"
"PCYB_011060","PCYB_011060-t26_1","Plasmodium cynomolgi strain B","DF157093:22,138..25,311(-)","hypothetical protein","PCOAH_00000220","0","52","OG6_184637"
"PCYB_011070","PCYB_011070-t26_1","Plasmodium cynomolgi strain B","DF157093:27,894..28,322(+)","hypothetical protein","PCOAH_00000230","0","54","OG6_532378"
"PCYB_011080","PCYB_011080-t26_1","Plasmodium cynomolgi strain B","DF157093:29,386..31,488(-)","hypothetical protein","PCOAH_00000240","0","53","OG6_533132"
"PCYB_011090","PCYB_011090-t26_1","Plasmodium cynomolgi strain B","DF157093:36,573..43,169(+)","erythrocyte membrane-associated antigen","PCOAH_00000250","0","54","OG6_136626"
"PCYB_011100","PCYB_011100-t26_1","Plasmodium cynomolgi strain B","DF157093:44,849..47,548(+)","hypothetical protein","PCOAH_00000260","0","52","OG6_116284"
"PCYB_011110","PCYB_011110-t26_1","Plasmodium cynomolgi strain B","DF157093:48,270..49,307(-)","hypothetical protein","PCOAH_00000270","0","54","OG6_533711"
"PCYB_011120","PCYB_011120-t26_1","Plasmodium cynomolgi strain B","DF157093:52,192..54,914(+)","hypothetical protein","PCOAH_00000280,PCOAH_00035200","1","92","OG6_110485"
"PCYB_011130","PCYB_011130-t26_1","Plasmodium cynomolgi strain B","DF157093:55,817..67,805(-)","hypothetical protein","PCOAH_00000290","0","41","OG6_532527"
"PCYB_011140","PCYB_011140-t26_1","Plasmodium cynomolgi strain B","DF157093:69,266..78,246(-)","hypothetical protein","PCOAH_00000300","0","24","OG6_533070"
"PCYB_011160","PCYB_011160-t26_1","Plasmodium cynomolgi strain B","DF157093:92,496..96,053(-)","NOL1/NOP2/sun family methyltransferase","PCOAH_00000320","0","55","OG6_101428"
"PCYB_011180","PCYB_011180-t26_1","Plasmodium cynomolgi strain B","DF157093:107,472..110,509(+)","WD domain G-beta repeat domain containing protein","PCOAH_00000340","0","53","OG6_130929"
"PCYB_011190","PCYB_011190-t26_1","Plasmodium cynomolgi strain B","DF157093:110,863..112,813(-)","calcium-dependent protein kinase 3","PCOAH_00000380","0","29","OG6_533317"
"PCYB_011200","PCYB_011200-t26_1","Plasmodium cynomolgi strain B","DF157093:118,600..129,982(-)","ubiquitin transferase","PCOAH_00000390","0","57","OG6_102181"
"PCYB_011210","PCYB_011210-t26_1","Plasmodium cynomolgi strain B","DF157093:135,165..139,094(+)","hypothetical protein","PCOAH_00000400","0","52","OG6_533652"
"PCYB_011220","PCYB_011220-t26_1","Plasmodium cynomolgi strain B","DF157093:139,723..143,096(-)","protein serine/threonine phosphatase 2C","PCOAH_00000410","0","49","OG6_137272"
"PCYB_011230","PCYB_011230-t26_1","Plasmodium cynomolgi strain B","DF157093:145,023..145,982(-)","peptide chain release factor","PCOAH_00000420","0","54","OG6_104996"
"PCYB_011240","PCYB_011240-t26_1","Plasmodium cynomolgi strain B","DF157093:147,477..151,198(-)","mRNA-capping enzyme","PCOAH_00000430","0","53","OG6_102244"
"PCYB_011250","PCYB_011250-t26_1","Plasmodium cynomolgi strain B","DF157093:153,419..155,787(+)","hypothetical protein","PCOAH_00000440","0","42","OG6_532550"
"PCYB_011260","PCYB_011260-t26_1","Plasmodium cynomolgi strain B","DF157093:157,118..161,143(+)","hypothetical protein","PCOAH_00000450","0","47","OG6_533280"
"PCYB_011270","PCYB_011270-t26_1","Plasmodium cynomolgi strain B","DF157093:162,539..165,072(+)","origin recognition subunit","PCOAH_00000460","0","55","OG6_102887"
"PCYB_011280","PCYB_011280-t26_1","Plasmodium cynomolgi strain B","DF157093:165,558..168,041(-)","DNA replication licensing factor MCM7","PCOAH_00000470","0","54","OG6_102101"
"PCYB_011290","PCYB_011290-t26_1","Plasmodium cynomolgi strain B","DF157093:174,039..179,555(-)","endonuclease/exonuclease/phosphatase domain containing protein","PCOAH_00033600","1","55","OG6_101364"
"PCYB_011300","PCYB_011300-t26_1","Plasmodium cynomolgi strain B","DF157093:182,523..185,759(-)","RNA-helicase","PCOAH_00000490","0","54","OG6_133057"
"PCYB_011310","PCYB_011310-t26_1","Plasmodium cynomolgi strain B","DF157093:187,256..187,915(-)","40S ribosomal protein S29","PCOAH_00000500","0","48","OG6_101365"
"PCYB_011320","PCYB_011320-t26_1","Plasmodium cynomolgi strain B","DF157093:189,082..191,284(-)","hypothetical protein","PCOAH_00000510","0","43","OG6_101367"
